Número do alimento,Descrição do alimento,Umidade(%),Energia(Kcal),Proteína(g),Carboidrato(g),Categoria do alimento
263,Margarina com óleo hidrogenado com sal (65% de lipídeos),32.2,596,Tr,0.0,4
265,Margarina com óleo interesterificado com sal (65%de lipídeos),32.0,594,Tr,0.0,4
267,Óleo de babaçu,NA,884,NA,NA,4
268,Óleo de canola,NA,884,NA,NA,4
269,Óleo de girassol,NA,884,NA,NA,4
270,Óleo de milho,NA,884,NA,NA,4
273,Abadejo filé congelado assado,74.3,112,23.5,0.0,5
279,Bacalhau salgado cru,47.9,136,29.0,0.0,5
281,Cação posta com farinha de trigo frita,60.6,208,25.0,3.1,5
287,Caranguejo cozido,77.0,83,18.5,0.0,5
291,Corvina de água doce crua,79.2,101,18.9,0.0,5
295,Dourada de água doce fresca,76.2,131,18.8,0.0,5
299,Manjuba com farinha de trigo frita,41.3,344,23.5,10.2,5
304,Pescada branca crua,79.6,111,16.3,0.0,5
315,Salmão filé com pele fresco grelhado,60.9,229,23.9,0.0,5
322,Tucunaré filé congelado cru,79.9,88,18.0,0.0,5
323,Apresuntado,73.7,129,13.5,2.9,6
326,Carne bovina acém moído cozido,61.6,212,26.7,0.0,6
389,Empada de frango pré-cozida assada,28.2,358,6.9,47.5,6
391,Frango asa com pele crua,67.5,213,18.1,0.0,6
415,Hambúrguer bovino cru,63.6,215,13.2,4.2,6
418,Lingüiça frango crua,64.8,218,14.2,0.0,6
424,Mortadela,56.4,269,12.0,5.8,6
425,Peru congelado assado,65.3,163,26.2,0.0,6
440,Quibe assado,69.0,136,14.6,12.9,6
443,Salame,34.7,398,25.8,2.9,6
446,Bebida láctea pêssego,87.7,55,2.1,7.6,7
447,Creme de Leite,70.9,221,1.5,4.5,7
448,Iogurte natural,90.0,51,4.1,1.9,7
453,Leite condensado,27.0,313,7.7,57.0,7
454,Leite de cabra,87.1,66,3.1,5.2,7
455,Leite de vaca achocolatado,80.9,83,2.1,14.2,7
460,Leite fermentado,81.9,70,1.9,15.7,7
461,Queijo minas frescal,56.1,264,17.4,3.2,7
463,Queijo mozarela,45.3,330,22.6,3.0,7
468,Queijo requeijão cremoso,62.5,257,9.6,2.4,7
470,Bebida isotônica sabores variados,93.5,26,0.0,6.4,8
471,Café infusão 10%,97.4,9,0.7,1.5,8
473,Cana caldo de,81.7,65,Tr,18.2,8
474,Cerveja pilsen,92.4,41,0.6,3.3,8
475,Chá erva-doce infusão 5%,99.6,1,0.0,0.4,8
477,Chá preto infusão 5%,99.4,2,0.0,0.6,8
478,Coco água de,94.3,22,0.0,5.3,8
479,Refrigerante tipo água tônica,92.0,31,0.0,8.0,8
480,Refrigerante tipo cola,91.3,34,0.0,8.7,8
481,Refrigerante tipo guaraná,90.0,39,0.0,10.0,8
491,Achocolatado pó,1.1,401,4.2,91.2,10
492,Açúcar cristal,0.1,387,0.3,99.6,10
493,Açúcar mascavo,3.3,369,0.8,94.5,10
495,Chocolate ao leite,1.3,540,7.2,59.6,10
499,Cocada branca,3.4,449,1.1,81.4,10
500,Doce de abóbora cremoso,43.9,199,0.9,54.6,10
502,Geléia mocotó natural,73.5,106,2.1,24.2,10
504,Maria mole,21.6,301,3.8,73.6,10
509,Quindim,23.9,411,4.7,46.3,10
510,Rapadura,7.1,352,1.0,90.8,10
525,Acarajé,50.5,289,8.3,19.1,13
527,Baião de dois arroz e feijão-de-corda,69.1,136,6.2,20.4,13
531,Camarão à baiana,82.0,101,7.9,3.2,13
537,Estrogonofe de carne,70.1,173,15.0,3.0,13
539,Feijão tropeiro mineiro,61.7,152,10.2,19.6,13
542,Macarrão molho bolognesa,71.4,120,4.9,22.5,13
544,Quibebe,81.1,86,8.6,6.6,13
545,Salada de legumes com maionese,82.0,96,1.1,8.9,13
549,Tabule,85.8,57,2.0,10.6,13
553,Vaca atolada,75.0,145,5.1,10.1,13
